plaka;il;nufus;bolge_kodu;bolge
1;Adana;2201670;1;Akdeniz Bolgesi
2;Adiyaman;610484;4;Guneydogu Anadolu Bolgesi
3;Afyonkarahisar;714523;3;Ege Bolgesi
4;Agri;542255;2;Dogu Anadolu Bolgesi
5;Amasya;326351;6;Karadeniz Bolgesi
6;Ankara;5346518;5;Ic Anadolu Bolgesi
7;Antalya;2328555;1;Akdeniz Bolgesi
8;Artvin;168068;6;Karadeniz Bolgesi
9;Aydin;1068260;3;Ege Bolgesi
10;Balikesir;1196176;7;Marmara Bolgesi
11;Bilecik;218297;7;Marmara Bolgesi
12;Bingol;269560;2;Dogu Anadolu Bolgesi
13;Bitlis;341225;2;Dogu Anadolu Bolgesi
14;Bolu;299896;6;Karadeniz Bolgesi
15;Burdur;261401;1;Akdeniz Bolgesi
16;Bursa;2901396;7;Marmara Bolgesi
17;Canakkale;519793;7;Marmara Bolgesi
18;Cankiri;183880;5;Ic Anadolu Bolgesi
19;Corum;527863;6;Karadeniz Bolgesi
20;Denizli;1005687;3;Ege Bolgesi
21;Diyarbakir;1673119;4;Guneydogu Anadolu Bolgesi
22;Edirne;401701;7;Marmara Bolgesi
23;Elazig;578789;2;Dogu Anadolu Bolgesi
24;Erzincan;226032;2;Dogu Anadolu Bolgesi
25;Erzurum;762021;2;Dogu Anadolu Bolgesi
26;Eskisehir;844842;5;Ic Anadolu Bolgesi
27;Gaziantep;1974244;4;Guneydogu Anadolu Bolgesi
28;Giresun;444467;6;Karadeniz Bolgesi
29;Gumushane;172034;6;Karadeniz Bolgesi
30;Hakkari;267813;2;Dogu Anadolu Bolgesi
31;Hatay;1555165;1;Akdeniz Bolgesi
32;Isparta;427324;1;Akdeniz Bolgesi
33;Mersin;1773852;1;Akdeniz Bolgesi
34;Istanbul;14804116;7;Marmara Bolgesi
35;Izmir;4223545;3;Ege Bolgesi
36;Kars;289786;2;Dogu Anadolu Bolgesi
37;Kastamonu;376945;6;Karadeniz Bolgesi
38;Kayseri;1358980;5;Ic Anadolu Bolgesi
39;Kirklareli;351684;7;Marmara Bolgesi
40;Kirsehir;229975;5;Ic Anadolu Bolgesi
41;Kocaeli;1830772;7;Marmara Bolgesi
42;Konya;2161303;5;Ic Anadolu Bolgesi
43;Kutahya;573642;3;Ege Bolgesi
44;Malatya;781305;2;Dogu Anadolu Bolgesi
45;Manisa;1396945;3;Ege Bolgesi
46;Kahramanmaras;1112634;1;Akdeniz Bolgesi
47;Mardin;796237;4;Guneydogu Anadolu Bolgesi
48;Mugla;923773;3;Ege Bolgesi
49;Mus;406501;2;Dogu Anadolu Bolgesi
50;Nevsehir;290895;5;Ic Anadolu Bolgesi
51;Nigde;351468;5;Ic Anadolu Bolgesi
52;Ordu;750588;6;Karadeniz Bolgesi
53;Rize;331048;6;Karadeniz Bolgesi
54;Sakarya;976948;7;Marmara Bolgesi
55;Samsun;1295927;6;Karadeniz Bolgesi
56;Siirt;322664;4;Guneydogu Anadolu Bolgesi
57;Sinop;205478;6;Karadeniz Bolgesi
58;Sivas;621224;5;Ic Anadolu Bolgesi
59;Tekirdag;972875;7;Marmara Bolgesi
60;Tokat;602662;6;Karadeniz Bolgesi
61;Trabzon;779379;6;Karadeniz Bolgesi
62;Tunceli;82193;2;Dogu Anadolu Bolgesi
63;Sanliurfa;1940627;4;Guneydogu Anadolu Bolgesi
64;Usak;358736;3;Ege Bolgesi
65;Van;1100190;2;Dogu Anadolu Bolgesi
66;Yozgat;421041;5;Ic Anadolu Bolgesi
67;Zonguldak;597524;6;Karadeniz Bolgesi
68;Aksaray;396673;5;Ic Anadolu Bolgesi
69;Bayburt;90154;6;Karadeniz Bolgesi
70;Karaman;245610;5;Ic Anadolu Bolgesi
71;Kirikkale;277984;5;Ic Anadolu Bolgesi
72;Batman;576899;4;Guneydogu Anadolu Bolgesi
73;Sirnak;483788;4;Guneydogu Anadolu Bolgesi
74;Bartin;192389;6;Karadeniz Bolgesi
75;Ardahan;98335;2;Dogu Anadolu Bolgesi
76;Igdir;192785;2;Dogu Anadolu Bolgesi
77;Yalova;241665;7;Marmara Bolgesi
78;Karabuk;242347;6;Karadeniz Bolgesi
79;Kilis;130825;4;Guneydogu Anadolu Bolgesi
80;Osmaniye;522175;1;Akdeniz Bolgesi
81;Duzce;370371;6;Karadeniz Bolgesi
